station,date,run_hour_utc,lead_label,hrrr_tmax_f,obs_tmax_f,error_f
KDCA,2026-04-20,12,12z (~6h lead),55.03568237304692,57.0,-1.9643176269530827
KDFW,2026-04-20,12,12z (~6h lead),75.06068237304692,72.0,3.060682373046916
KHOU,2026-04-20,12,12z (~6h lead),74.61068237304691,73.0,1.610682373046913
KJFK,2026-04-20,12,12z (~6h lead),49.45462768554692,51.0,-1.5453723144530827
KLAS,2026-04-20,12,12z (~6h lead),89.23568237304691,90.0,-0.7643176269530869
KLAX,2026-04-20,12,12z (~6h lead),67.29818237304691,70.0,-2.701817626953087
KMIA,2026-04-20,12,12z (~6h lead),85.00506713867192,86.0,-0.9949328613280812
KMSP,2026-04-20,12,12z (~6h lead),58.523182373046915,64.0,-5.4768176269530855
KMSY,2026-04-20,12,12z (~6h lead),77.19818237304692,75.0,2.1981823730469188
KOKC,2026-04-20,12,12z (~6h lead),73.48568237304691,74.0,-0.5143176269530869
KORD,2026-04-20,12,12z (~6h lead),54.248182373046916,57.0,-2.751817626953084
KPHL,2026-04-20,12,12z (~6h lead),50.57100341796879,55.0,-4.4289965820312105
KPHX,2026-04-20,12,12z (~6h lead),92.61068237304691,96.0,-3.389317626953087
KSAT,2026-04-20,12,12z (~6h lead),56.430067138671916,60.0,-3.569932861328084
KSEA,2026-04-20,12,12z (~6h lead),69.77318237304692,72.0,-2.2268176269530784
KSFO,2026-04-20,12,12z (~6h lead),60.14212768554692,66.0,-5.857872314453083
KATL,2026-04-20,18,18z (~2-3h lead),74.19012573242192,77.0,-2.8098742675780812
KAUS,2026-04-20,18,18z (~2-3h lead),60.532911376953166,62.0,-1.467088623046834
KBOS,2026-04-20,18,18z (~2-3h lead),49.08548706054692,53.0,-3.9145129394530827
KDCA,2026-04-20,18,18z (~2-3h lead),55.80631835937504,57.0,-1.193681640624959
KDFW,2026-04-20,18,18z (~2-3h lead),72.90631835937504,72.0,0.9063183593750352
KHOU,2026-04-20,18,18z (~2-3h lead),73.91881835937504,73.0,0.9188183593750381
KJFK,2026-04-20,18,18z (~2-3h lead),50.43548706054692,51.0,-0.5645129394530812
KLAS,2026-04-20,18,18z (~2-3h lead),89.22041137695317,90.0,-0.7795886230468341
KLAX,2026-04-20,18,18z (~2-3h lead),68.09798706054691,70.0,-1.902012939453087
KMIA,2026-04-20,18,18z (~2-3h lead),82.27298706054691,86.0,-3.7270129394530898
KMSP,2026-04-20,18,18z (~2-3h lead),63.57041137695317,64.0,-0.42958862304683265
KMSY,2026-04-20,18,18z (~2-3h lead),76.21512573242191,75.0,1.2151257324219102
KOKC,2026-04-20,18,18z (~2-3h lead),72.33947875976567,74.0,-1.6605212402343312
KORD,2026-04-20,18,18z (~2-3h lead),56.02697875976567,57.0,-0.9730212402343312
KPHL,2026-04-20,18,18z (~2-3h lead),53.66881835937504,55.0,-1.331181640624962
KPHX,2026-04-20,18,18z (~2-3h lead),94.16447875976567,96.0,-1.8355212402343284
KSAT,2026-04-20,18,18z (~2-3h lead),58.28488891601567,60.0,-1.7151110839843327
KSEA,2026-04-20,18,18z (~2-3h lead),71.33291137695316,72.0,-0.6670886230468369
KSFO,2026-04-20,18,18z (~2-3h lead),62.443818359375044,66.0,-3.5561816406249562
KATL,2026-04-21,12,12z (~6h lead),78.77790649414067,79.0,-0.22209350585933407
KAUS,2026-04-21,12,12z (~6h lead),61.22790649414067,64.0,-2.7720935058593312
KBOS,2026-04-21,12,12z (~6h lead),44.931776123046916,45.0,-0.06822387695308407
KDCA,2026-04-21,12,12z (~6h lead),61.22790649414067,62.0,-0.7720935058593312
KDFW,2026-04-21,12,12z (~6h lead),63.25290649414067,63.0,0.25290649414066735
KHOU,2026-04-21,12,12z (~6h lead),69.34466064453129,68.0,1.344660644531288
KJFK,2026-04-21,12,12z (~6h lead),53.91540649414067,54.0,-0.08459350585933123
KLAS,2026-04-21,12,12z (~6h lead),85.86540649414067,87.0,-1.1345935058593284
KLAX,2026-04-21,12,12z (~6h lead),67.88177612304692,70.0,-2.1182238769530812
KMIA,2026-04-21,12,12z (~6h lead),75.74040649414067,80.0,-4.259593505859328
KMSP,2026-04-21,12,12z (~6h lead),74.61540649414067,78.0,-3.3845935058593284
KMSY,2026-04-21,12,12z (~6h lead),81.81540649414066,80.0,1.8154064941406602
KOKC,2026-04-21,12,12z (~6h lead),66.64427612304692,64.0,2.6442761230469216
KORD,2026-04-21,12,12z (~6h lead),77.99040649414067,76.0,1.9904064941406716
KPHL,2026-04-21,12,12z (~6h lead),57.402906494140666,58.0,-0.5970935058593341
KPHX,2026-04-21,12,12z (~6h lead),91.94040649414066,96.0,-4.05959350585934
KSAT,2026-04-21,12,12z (~6h lead),65.50290649414066,66.0,-0.49709350585933976
KSEA,2026-04-21,12,12z (~6h lead),58.75290649414067,60.0,-1.2470935058593327
KSFO,2026-04-21,12,12z (~6h lead),58.769276123046915,63.0,-4.2307238769530855
KATL,2026-04-21,18,18z (~2-3h lead),78.42650878906254,79.0,-0.5734912109374619
KAUS,2026-04-21,18,18z (~2-3h lead),63.197095947265666,64.0,-0.8029040527343341
KBOS,2026-04-21,18,18z (~2-3h lead),43.777113037109416,45.0,-1.222886962890584
KDCA,2026-04-21,18,18z (~2-3h lead),62.634595947265666,62.0,0.6345959472656659
KDFW,2026-04-21,18,18z (~2-3h lead),62.69254882812504,63.0,-0.3074511718749591
KHOU,2026-04-21,18,18z (~2-3h lead),66.9158032226563,68.0,-1.0841967773437062
KJFK,2026-04-21,18,18z (~2-3h lead),53.679859619140665,54.0,-0.3201403808593355
KLAS,2026-04-21,18,18z (~2-3h lead),85.96400878906255,87.0,-1.0359912109374534
KLAX,2026-04-21,18,18z (~2-3h lead),65.67209594726566,70.0,-4.32790405273434
KMIA,2026-04-21,18,18z (~2-3h lead),76.85485961914067,80.0,-3.1451403808593312
KMSP,2026-04-21,18,18z (~2-3h lead),75.95150878906254,78.0,-2.0484912109374562
KMSY,2026-04-21,18,18z (~2-3h lead),81.80485961914067,80.0,1.8048596191406716
KOKC,2026-04-21,18,18z (~2-3h lead),63.87830322265629,64.0,-0.12169677734370765
KORD,2026-04-21,18,18z (~2-3h lead),77.86400878906254,76.0,1.864008789062538
KPHL,2026-04-21,18,18z (~2-3h lead),56.94235961914067,58.0,-1.0576403808593327
KPHX,2026-04-21,18,18z (~2-3h lead),93.83900878906255,96.0,-2.1609912109374534
KSAT,2026-04-21,18,18z (~2-3h lead),63.91461303710942,66.0,-2.0853869628905812
KSEA,2026-04-21,18,18z (~2-3h lead),60.31400878906254,60.0,0.3140087890625409
KSFO,2026-04-21,18,18z (~2-3h lead),59.302113037109415,63.0,-3.6978869628905855
KATL,2026-04-22,12,12z (~6h lead),82.50622680664067,83.0,-0.49377319335933123
KAUS,2026-04-22,12,12z (~6h lead),75.08512695312504,85.0,-9.914873046874959
KBOS,2026-04-22,12,12z (~6h lead),46.520948486328166,47.0,-0.4790515136718341
KDCA,2026-04-22,12,12z (~6h lead),77.79594848632817,76.0,1.7959484863281716
KDFW,2026-04-22,12,12z (~6h lead),73.85844848632817,78.0,-4.141551513671828
KHOU,2026-04-22,12,12z (~6h lead),76.42935913085941,82.0,-5.57064086914059
KJFK,2026-04-22,12,12z (~6h lead),57.43344848632817,56.0,1.4334484863281673
KLAS,2026-04-22,12,12z (~6h lead),76.55844848632816,77.0,-0.44155151367183976
KLAX,2026-04-22,12,12z (~6h lead),65.19594848632816,67.0,-1.804051513671837
KMIA,2026-04-22,12,12z (~6h lead),77.55622680664067,81.0,-3.443773193359334
KMSP,2026-04-22,12,12z (~6h lead),81.84594848632817,86.0,-4.154051513671831
KMSY,2026-04-22,12,12z (~6h lead),83.08344848632817,82.0,1.083448486328166
KOKC,2026-04-22,12,12z (~6h lead),63.50844848632816,68.0,-4.491551513671837
KORD,2026-04-22,12,12z (~6h lead),70.38034179687504,68.0,2.3803417968750438
KPHL,2026-04-22,12,12z (~6h lead),67.78344848632817,66.0,1.7834484863281688
KPHX,2026-04-22,12,12z (~6h lead),87.02094848632817,90.0,-2.979051513671834
KSAT,2026-04-22,12,12z (~6h lead),73.84372680664066,85.0,-11.15627319335934
KSEA,2026-04-22,12,12z (~6h lead),52.59594848632817,52.0,0.5959484863281688
KSFO,2026-04-22,12,12z (~6h lead),58.22094848632817,65.0,-6.779051513671831
KATL,2026-04-22,18,18z (~2-3h lead),82.08001220703129,83.0,-0.9199877929687119
KAUS,2026-04-22,18,18z (~2-3h lead),78.82970703125004,85.0,-6.170292968749962
KBOS,2026-04-22,18,18z (~2-3h lead),47.18249023437504,47.0,0.18249023437503809
KDCA,2026-04-22,18,18z (~2-3h lead),76.00501220703129,76.0,0.005012207031285243
KDFW,2026-04-22,18,18z (~2-3h lead),75.3759350585938,78.0,-2.6240649414062034
KHOU,2026-04-22,18,18z (~2-3h lead),78.90749023437505,82.0,-3.0925097656249534
KJFK,2026-04-22,18,18z (~2-3h lead),53.74220703125004,56.0,-2.2577929687499605
KLAS,2026-04-22,18,18z (~2-3h lead),77.9175122070313,77.0,0.9175122070312938
KLAX,2026-04-22,18,18z (~2-3h lead),65.86452148437505,67.0,-1.1354785156249534
KMIA,2026-04-22,18,18z (~2-3h lead),77.2425122070313,81.0,-3.7574877929687034
KMSP,2026-04-22,18,18z (~2-3h lead),84.11720703125005,86.0,-1.8827929687499534
KMSY,2026-04-22,18,18z (~2-3h lead),83.09251220703129,82.0,1.092512207031291
KOKC,2026-04-22,18,18z (~2-3h lead),66.9384350585938,68.0,-1.0615649414062034
KORD,2026-04-22,18,18z (~2-3h lead),70.36452148437505,68.0,2.3645214843750466
KPHL,2026-04-22,18,18z (~2-3h lead),62.62970703125004,66.0,-3.3702929687499577
KPHX,2026-04-22,18,18z (~2-3h lead),86.59220703125004,90.0,-3.407792968749959
KSAT,2026-04-22,18,18z (~2-3h lead),78.94220703125004,85.0,-6.057792968749965
KSEA,2026-04-22,18,18z (~2-3h lead),52.18895996093754,52.0,0.18895996093753809
KSFO,2026-04-22,18,18z (~2-3h lead),57.792207031250044,65.0,-7.207792968749956
KATL,2026-04-23,12,12z (~6h lead),82.29001586914066,83.0,-0.7099841308593398
KAUS,2026-04-23,12,12z (~6h lead),78.12751586914067,83.0,-4.872484130859334
KBOS,2026-04-23,12,12z (~6h lead),63.26894653320316,66.0,-2.731053466796837
KDCA,2026-04-23,12,12z (~6h lead),82.74001586914066,84.0,-1.259984130859337
KDFW,2026-04-23,12,12z (~6h lead),77.56501586914067,79.0,-1.434984130859334
KHOU,2026-04-23,12,12z (~6h lead),82.74001586914066,83.0,-0.2599841308593369
KJFK,2026-04-23,12,12z (~6h lead),73.40251586914067,73.0,0.4025158691406716
KLAS,2026-04-23,12,12z (~6h lead),75.42751586914066,77.0,-1.572484130859337
KLAX,2026-04-23,12,12z (~6h lead),71.14394653320316,72.0,-0.8560534667968369
KMIA,2026-04-23,12,12z (~6h lead),78.72011840820316,79.0,-0.2798815917968369
KMSP,2026-04-23,12,12z (~6h lead),75.31501586914067,73.0,2.315015869140666
KMSY,2026-04-23,12,12z (~6h lead),83.86501586914066,82.0,1.865015869140663
KOKC,2026-04-23,12,12z (~6h lead),83.52751586914067,82.0,1.5275158691406716
KORD,2026-04-23,12,12z (~6h lead),81.72751586914066,82.0,-0.27248413085933976
KPHL,2026-04-23,12,12z (~6h lead),77.22751586914066,79.0,-1.7724841308593398
KPHX,2026-04-23,12,12z (~6h lead),85.44001586914067,87.0,-1.559984130859334
KSAT,2026-04-23,12,12z (~6h lead),74.64001586914067,82.0,-7.359984130859331
KSEA,2026-04-23,12,12z (~6h lead),52.815015869140666,58.0,-5.184984130859334
KSFO,2026-04-23,12,12z (~6h lead),59.22751586914067,68.0,-8.772484130859333
KATL,2026-04-23,18,18z (~2-3h lead),81.81837280273442,83.0,-1.181627197265584
KAUS,2026-04-23,18,18z (~2-3h lead),81.64660156250004,83.0,-1.353398437499962
KBOS,2026-04-23,18,18z (~2-3h lead),64.17119873046879,66.0,-1.828801269531212
KDCA,2026-04-23,18,18z (~2-3h lead),83.29510009765629,84.0,-0.7048999023437119
KDFW,2026-04-23,18,18z (~2-3h lead),79.39660156250004,79.0,0.3966015625000381
KHOU,2026-04-23,18,18z (~2-3h lead),82.28369873046879,83.0,-0.7163012695312148
KJFK,2026-04-23,18,18z (~2-3h lead),73.28260009765629,73.0,0.28260009765628524
KLAS,2026-04-23,18,18z (~2-3h lead),77.48410156250004,77.0,0.48410156250004377
KLAX,2026-04-23,18,18z (~2-3h lead),72.81837280273442,72.0,0.8183728027344159
KMIA,2026-04-23,18,18z (~2-3h lead),76.25978515625005,79.0,-2.7402148437499534
KMSP,2026-04-23,18,18z (~2-3h lead),71.7076000976563,73.0,-1.2923999023437034
KMSY,2026-04-23,18,18z (~2-3h lead),82.9586987304688,82.0,0.9586987304687966
KOKC,2026-04-23,18,18z (~2-3h lead),83.34728515625004,82.0,1.347285156250038
KORD,2026-04-23,18,18z (~2-3h lead),81.77228515625004,82.0,-0.22771484374996476
KPHL,2026-04-23,18,18z (~2-3h lead),77.8951000976563,79.0,-1.1048999023437034
KPHX,2026-04-23,18,18z (~2-3h lead),85.03478515625004,87.0,-1.965214843749962
KSAT,2026-04-23,18,18z (~2-3h lead),81.53410156250004,82.0,-0.4658984374999591
KSEA,2026-04-23,18,18z (~2-3h lead),56.222425537109416,58.0,-1.777574462890584
KSFO,2026-04-23,18,18z (~2-3h lead),60.50978515625004,68.0,-7.4902148437499605
KATL,2026-04-24,12,12z (~6h lead),82.46667602539067,84.0,-1.5333239746093312
KAUS,2026-04-24,12,12z (~6h lead),86.74167602539066,90.0,-3.2583239746093398
KBOS,2026-04-24,12,12z (~6h lead),49.57690551757817,50.0,-0.42309448242183123
KDCA,2026-04-24,12,12z (~6h lead),82.94776733398442,83.0,-0.05223266601558407
KDFW,2026-04-24,12,12z (~6h lead),91.91667602539067,89.0,2.9166760253906716
KHOU,2026-04-24,12,12z (~6h lead),86.32276733398442,84.0,2.322767333984416
KJFK,2026-04-24,12,12z (~6h lead),67.53526733398442,68.0,-0.4647326660155784
KLAS,2026-04-24,12,12z (~6h lead),81.34167602539067,82.0,-0.6583239746093312
KLAX,2026-04-24,12,12z (~6h lead),71.55033081054691,74.0,-2.4496691894530898
KMIA,2026-04-24,12,12z (~6h lead),77.43230102539067,84.0,-6.567698974609328
KMSP,2026-04-24,12,12z (~6h lead),61.204176025390666,61.0,0.20417602539066593
KMSY,2026-04-24,12,12z (~6h lead),85.05417602539066,83.0,2.0541760253906602
KOKC,2026-04-24,12,12z (~6h lead),78.75417602539066,76.0,2.754176025390663
KORD,2026-04-24,12,12z (~6h lead),72.11667602539066,71.0,1.1166760253906602
KPHL,2026-04-24,12,12z (~6h lead),77.40417602539067,80.0,-2.5958239746093312
KPHX,2026-04-24,12,12z (~6h lead),87.64167602539067,90.0,-2.358323974609334
KSAT,2026-04-24,12,12z (~6h lead),83.92917602539066,89.0,-5.07082397460934
KSEA,2026-04-24,12,12z (~6h lead),55.12917602539066,63.0,-7.870823974609337
KSFO,2026-04-24,12,12z (~6h lead),56.92917602539067,63.0,-6.070823974609333
KATL,2026-04-24,18,18z (~2-3h lead),81.62446411132817,84.0,-2.375535888671834
KAUS,2026-04-24,18,18z (~2-3h lead),89.50748413085941,90.0,-0.49251586914058976
KBOS,2026-04-24,18,18z (~2-3h lead),46.34895751953129,50.0,-3.6510424804687105
KDCA,2026-04-24,18,18z (~2-3h lead),82.38801391601567,83.0,-0.6119860839843341
KDFW,2026-04-24,18,18z (~2-3h lead),90.51998413085941,89.0,1.519984130859413
KHOU,2026-04-24,18,18z (~2-3h lead),82.57395751953129,84.0,-1.426042480468709
KJFK,2026-04-24,18,18z (~2-3h lead),66.97551391601567,68.0,-1.0244860839843284
KLAS,2026-04-24,18,18z (~2-3h lead),82.19498413085941,82.0,0.19498413085941024
KLAX,2026-04-24,18,18z (~2-3h lead),73.01145751953129,74.0,-0.9885424804687091
KMIA,2026-04-24,18,18z (~2-3h lead),79.87395751953129,84.0,-4.126042480468712
