ticker,station,series,temp_low,result,settled_yes,last_price,volume,settlement_date,last_price_cents,expiration_value
HIGHCHI-24AUG20-B73.5,KORD,KXHIGHCHI,73.5,yes,1,0.99,3540.0,2024-08-21,0,73.00
HIGHCHI-24AUG20-B71.5,KORD,KXHIGHCHI,71.5,no,0,0.01,3985.0,2024-08-21,0,
HIGHCHI-24AUG20-B69.5,KORD,KXHIGHCHI,69.5,no,0,0.01,75.0,2024-08-21,0,
HIGHCHI-24AUG19-T79,KORD,KXHIGHCHI,79.0,no,0,0.01,2051.0,2024-08-20,0,
HIGHCHI-24AUG19-B78.5,KORD,KXHIGHCHI,78.5,no,0,0.01,5206.0,2024-08-20,0,
HIGHCHI-24AUG19-B76.5,KORD,KXHIGHCHI,76.5,yes,1,0.99,3875.0,2024-08-20,0,77.00
HIGHCHI-24AUG19-B74.5,KORD,KXHIGHCHI,74.5,no,0,0.01,3766.0,2024-08-20,0,
HIGHCHI-24AUG19-B72.5,KORD,KXHIGHCHI,72.5,no,0,0.04,230.0,2024-08-20,0,
HIGHCHI-24AUG19-T72,KORD,KXHIGHCHI,72.0,no,0,0.01,50.0,2024-08-20,0,
HIGHCHI-24AUG18-T82,KORD,KXHIGHCHI,82.0,no,0,0.01,165.0,2024-08-19,0,
HIGHCHI-24AUG18-B81.5,KORD,KXHIGHCHI,81.5,no,0,0.01,1511.0,2024-08-19,0,
HIGHCHI-24AUG18-B79.5,KORD,KXHIGHCHI,79.5,yes,1,0.92,3843.0,2024-08-19,0,79.00
HIGHCHI-24AUG18-T75,KORD,KXHIGHCHI,75.0,no,0,0.01,50.0,2024-08-19,0,
HIGHCHI-24AUG18-B77.5,KORD,KXHIGHCHI,77.5,no,0,0.01,3899.0,2024-08-19,0,
HIGHCHI-24AUG18-B75.5,KORD,KXHIGHCHI,75.5,no,0,0.01,1287.0,2024-08-19,0,
HIGHCHI-24AUG17-T83,KORD,KXHIGHCHI,83.0,no,0,0.16,1354.0,2024-08-18,0,
HIGHCHI-24AUG17-B82.5,KORD,KXHIGHCHI,82.5,yes,1,0.99,4153.0,2024-08-18,0,83.00
HIGHCHI-24AUG17-B80.5,KORD,KXHIGHCHI,80.5,no,0,0.01,8533.0,2024-08-18,0,
HIGHCHI-24AUG17-B78.5,KORD,KXHIGHCHI,78.5,no,0,0.01,3221.0,2024-08-18,0,
HIGHCHI-24AUG17-T76,KORD,KXHIGHCHI,76.0,no,0,0.01,50.0,2024-08-18,0,
HIGHCHI-24AUG17-B76.5,KORD,KXHIGHCHI,76.5,no,0,0.01,1238.0,2024-08-18,0,
HIGHCHI-24AUG16-T89,KORD,KXHIGHCHI,89.0,no,0,0.01,7829.0,2024-08-17,0,
HIGHCHI-24AUG16-B88.5,KORD,KXHIGHCHI,88.5,yes,1,0.97,6045.0,2024-08-17,0,88.00
HIGHCHI-24AUG16-B86.5,KORD,KXHIGHCHI,86.5,no,0,0.01,11715.0,2024-08-17,0,
HIGHCHI-24AUG16-T82,KORD,KXHIGHCHI,82.0,no,0,0.01,50.0,2024-08-17,0,
HIGHCHI-24AUG16-B84.5,KORD,KXHIGHCHI,84.5,no,0,0.01,1248.0,2024-08-17,0,
HIGHCHI-24AUG16-B82.5,KORD,KXHIGHCHI,82.5,no,0,0.01,50.0,2024-08-17,0,
HIGHCHI-24AUG15-T82,KORD,KXHIGHCHI,82.0,no,0,0.01,2494.0,2024-08-16,0,
HIGHCHI-24AUG15-B81.5,KORD,KXHIGHCHI,81.5,no,0,0.01,2602.0,2024-08-16,0,
HIGHCHI-24AUG15-B79.5,KORD,KXHIGHCHI,79.5,no,0,0.01,4757.0,2024-08-16,0,
HIGHCHI-24AUG15-B77.5,KORD,KXHIGHCHI,77.5,yes,1,0.99,3685.0,2024-08-16,0,77.00
HIGHCHI-24AUG15-B75.5,KORD,KXHIGHCHI,75.5,no,0,0.01,3904.0,2024-08-16,0,
HIGHCHI-24AUG15-T75,KORD,KXHIGHCHI,75.0,no,0,0.01,2964.0,2024-08-16,0,
HIGHCHI-24AUG14-T89,KORD,KXHIGHCHI,89.0,no,0,0.01,3574.0,2024-08-15,0,
HIGHCHI-24AUG14-B88.5,KORD,KXHIGHCHI,88.5,no,0,0.01,3422.0,2024-08-15,0,
